energy_consumption_class,year,elec_price_per_MWh,lower_bound_MWh,upper_bound_MWh,lower_bound_[currency],upper_bound_[currency]
MWH20-499,2018,39750.5,20.0,499.0,795010.0,19835499.5
MWH20-499,2019,45772.4,20.0,499.0,915448.0,22840427.6
MWH20-499,2020,49850.8,20.0,499.0,997016.0,24875549.200000003
MWH20-499,2021,51248.149999999994,20.0,499.0,1024962.9999999999,25572826.849999998
MWH20-499,2022,100178.65000000001,20.0,499.0,2003573.0000000002,49989146.35
MWH20-499,2023,149036.2,20.0,499.0,2980724.0,74369063.80000001
MWH2000-19999,2018,30194.049999999996,2000.0,19999.0,60388099.99999999,603850805.9499999
MWH2000-19999,2019,35775.9,2000.0,19999.0,71551800.0,715482224.1
MWH2000-19999,2020,38915.9,2000.0,19999.0,77831800.0,778279084.1
MWH2000-19999,2021,41886.35,2000.0,19999.0,83772700.0,837685113.65
MWH2000-19999,2022,104331.3,2000.0,19999.0,208662600.0,2086521668.7
MWH2000-19999,2023,122206.25000000001,2000.0,19999.0,244412500.00000003,2444002793.7500005
MWH20000-69999,2018,27895.5,20000.0,69999.0,557910000.0,1952657104.5
MWH20000-69999,2019,32951.49999999999,20000.0,69999.0,659029999.9999999,2306572048.4999995
MWH20000-69999,2020,34548.0,20000.0,69999.0,690960000.0,2418325452.0
MWH20000-69999,2021,37157.25000000001,20000.0,69999.0,743145000.0000001,2600970342.7500005
MWH20000-69999,2022,106169.99999999999,20000.0,69999.0,2123399999.9999998,7431793829.999999
MWH20000-69999,2023,116728.9,20000.0,69999.0,2334578000.0,8170906271.099999
MWH500-1999,2018,32923.4,500.0,1999.0,16461700.0,65813876.6
MWH500-1999,2019,38911.450000000004,500.0,1999.0,19455725.000000004,77783988.55000001
MWH500-1999,2020,42007.05000000001,500.0,1999.0,21003525.000000004,83972092.95000002
MWH500-1999,2021,43891.65,500.0,1999.0,21945825.0,87739408.35000001
MWH500-1999,2022,97782.6,500.0,1999.0,48891300.0,195467417.4
MWH500-1999,2023,139077.2,500.0,1999.0,69538600.0,278015322.8
MWH70000-149999,2018,28800.7,70000.0,149999.0,2016049000.0,4320076199.3
MWH70000-149999,2019,32048.4,70000.0,149999.0,2243388000.0,4807227951.6
MWH70000-149999,2020,32946.45,70000.0,149999.0,2306251500.0,4941934553.549999
MWH70000-149999,2021,42250.700000000004,70000.0,149999.0,2957549000.0000005,6337562749.3
MWH70000-149999,2022,124303.85,70000.0,149999.0,8701269500.0,18645453196.15
MWH70000-149999,2023,113491.85,70000.0,149999.0,7944429500.0,17023664008.150002
MWH_GE150000,2018,24800.4,150000.0,inf,3720060000.0,inf
MWH_GE150000,2019,27588.250000000004,150000.0,inf,4138237500.0000005,inf
MWH_GE150000,2020,28582.35,150000.0,inf,4287352500.0,inf
MWH_GE150000,2021,45095.950000000004,150000.0,inf,6764392500.000001,inf
MWH_GE150000,2022,137442.85,150000.0,inf,20616427500.0,inf
MWH_GE150000,2023,96384.45,150000.0,inf,14457667500.0,inf
MWH_LT20,2018,46814.9,0.0,20.0,0.0,936298.0
MWH_LT20,2019,52874.3,0.0,20.0,0.0,1057486.0
MWH_LT20,2020,57239.90000000001,0.0,20.0,0.0,1144798.0000000002
MWH_LT20,2021,60877.6,0.0,20.0,0.0,1217552.0
MWH_LT20,2022,103605.3,0.0,20.0,0.0,2072106.0
MWH_LT20,2023,134700.15,0.0,20.0,0.0,2694003.0
