semester,year,energy_consumption_class,elec_price_per_MWh,lower_bound_MWh,upper_bound_MWh,lower_bound_HUF,upper_bound_HUF
2007-S2,2007,MWH20-499,37800.0,20.0,499.0,756000.0,18862200.0
2008-S1,2008,MWH20-499,41160.0,20.0,499.0,823200.0,20538840.0
2008-S2,2008,MWH20-499,40980.0,20.0,499.0,819600.0,20449020.0
2009-S1,2009,MWH20-499,45036.1,20.0,499.0,900722.0,22473013.9
2009-S2,2009,MWH20-499,41480.0,20.0,499.0,829600.0,20698520.0
2010-S1,2010,MWH20-499,37130.0,20.0,499.0,742600.0,18527870.0
2010-S2,2010,MWH20-499,36482.2,20.0,499.0,729644.0,18204617.799999997
2011-S1,2011,MWH20-499,37377.6,20.0,499.0,747552.0,18651422.4
2011-S2,2011,MWH20-499,41733.8,20.0,499.0,834676.0,20825166.200000003
2012-S1,2012,MWH20-499,40432.4,20.0,499.0,808648.0,20175767.6
2012-S2,2012,MWH20-499,40199.8,20.0,499.0,803996.0,20059700.200000003
2013-S1,2013,MWH20-499,40312.5,20.0,499.0,806250.0,20115937.5
2013-S2,2013,MWH20-499,39832.1,20.0,499.0,796642.0,19876217.9
2014-S1,2014,MWH20-499,39085.799999999996,20.0,499.0,781715.9999999999,19503814.2
2014-S2,2014,MWH20-499,38758.7,20.0,499.0,775174.0,19340591.299999997
2015-S1,2015,MWH20-499,37311.100000000006,20.0,499.0,746222.0000000001,18618238.900000002
2015-S2,2015,MWH20-499,37633.200000000004,20.0,499.0,752664.0000000001,18778966.8
2016-S1,2016,MWH20-499,35985.0,20.0,499.0,719700.0,17956515.0
2016-S2,2016,MWH20-499,36422.600000000006,20.0,499.0,728452.0000000001,18174877.400000002
2017-S1,2017,MWH20-499,35176.8,20.0,499.0,703536.0,17553223.200000003
2017-S2,2017,MWH20-499,35461.799999999996,20.0,499.0,709235.9999999999,17695438.2
2018-S1,2018,MWH20-499,39371.5,20.0,499.0,787430.0,19646378.5
2018-S2,2018,MWH20-499,40129.5,20.0,499.0,802590.0,20024620.5
2019-S1,2019,MWH20-499,45332.2,20.0,499.0,906644.0,22620767.799999997
2019-S2,2019,MWH20-499,46212.6,20.0,499.0,924252.0,23060087.4
2020-S1,2020,MWH20-499,49842.399999999994,20.0,499.0,996847.9999999999,24871357.599999998
2020-S2,2020,MWH20-499,49859.200000000004,20.0,499.0,997184.0000000001,24879740.8
2021-S1,2021,MWH20-499,49011.1,20.0,499.0,980222.0,24456538.9
2021-S2,2021,MWH20-499,53485.2,20.0,499.0,1069704.0,26689114.799999997
2022-S1,2022,MWH20-499,80869.9,20.0,499.0,1617398.0,40354080.099999994
2022-S2,2022,MWH20-499,119487.4,20.0,499.0,2389748.0,59624212.599999994
2023-S1,2023,MWH20-499,157625.40000000002,20.0,499.0,3152508.0000000005,78655074.60000001
2023-S2,2023,MWH20-499,140447.0,20.0,499.0,2808940.0,70083053.0
2024-S1,2024,MWH20-499,122550.79999999999,20.0,499.0,2451016.0,61152849.199999996
2024-S2,2024,MWH20-499,130160.3,20.0,499.0,2603206.0,64949989.7
2007-S2,2007,MWH2000-19999,30070.0,2000.0,19999.0,60140000.0,601369930.0
2008-S1,2008,MWH2000-19999,30410.0,2000.0,19999.0,60820000.0,608169590.0
2008-S2,2008,MWH2000-19999,32610.0,2000.0,19999.0,65220000.0,652167390.0
2009-S1,2009,MWH2000-19999,38312.9,2000.0,19999.0,76625800.0,766219687.1
2009-S2,2009,MWH2000-19999,38740.0,2000.0,19999.0,77480000.0,774761260.0
2010-S1,2010,MWH2000-19999,31850.0,2000.0,19999.0,63700000.0,636968150.0
2010-S2,2010,MWH2000-19999,32708.9,2000.0,19999.0,65417800.0,654145291.1
2011-S1,2011,MWH2000-19999,32206.4,2000.0,19999.0,64412800.0,644095793.6
