firm_id,oil_purchases_2020_1,gas_purchases_2020_1,electricity_purchases_2020_1,oil_purchases_2020_2,gas_purchases_2020_2,electricity_purchases_2020_2,oil_purchases_2021_1,gas_purchases_2021_1,electricity_purchases_2021_1,oil_purchases_2021_2,gas_purchases_2021_2,electricity_purchases_2021_2,oil_purchases_2022_1,gas_purchases_2022_1,electricity_purchases_2022_1,oil_purchases_2022_2,gas_purchases_2022_2,electricity_purchases_2022_2,oil_purchases_2023_1,gas_purchases_2023_1,electricity_purchases_2023_1,oil_purchases_2023_2,gas_purchases_2023_2,electricity_purchases_2023_2,oil_purchases_2024_1,gas_purchases_2024_1,electricity_purchases_2024_1,oil_purchases_2024_2,gas_purchases_2024_2,electricity_purchases_2024_2,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,employment_2020,employment_2021,employment_2022,employment_2023,employment_2024,ets_flag,nace2,nace4,parent_nace,fossil_purchases_2020,fossil_purchases_2021,fossil_purchases_2022,fossil_purchases_2023,fossil_purchases_2024
1,6204097,0,0,0,0,7043641,0,6578775,0,6468713,0,0,6609505,0,0,0,0,7565628,0,8105922,0,0,0,0,0,0,6895058,0,0,8507986,35105293522,34694295692,34640297616,36221972363,35915086786,221,218,227,219,228,0,35,3522,D,6204097,13047488,6609505,8105922,0
2,0,0,0,6850213,0,0,0,0,6863650,0,0,0,0,0,0,0,0,0,0,0,7721205,0,0,0,8981952,0,0,0,0,0,67119541479,69830871715,70568349612,72064265202,72635499557,481,482,494,480,495,0,14,1469,C,6850213,0,0,0,8981952
3,0,0,0,0,9167965,0,0,6906602,0,8822899,0,0,0,0,0,0,0,0,6609622,0,0,0,8332910,0,0,0,0,6966002,0,0,55224039523,54134072948,55098989969,54411115360,56754125845,223,217,210,212,211,0,12,1210,C,9167965,15729501,0,14942532,6966002
4,7449272,439993,499757,0,489835,287877,0,380148,7679711,0,348533,7769324,0,498759,6486856,0,312647,454676,6328985,345413,173227,0,382332,396784,0,111585,323459,0,449807,8989317,94803667686,94580321673,97283053944,96246309501,97880364090,412,432,433,449,449,0,6,692,B,8379100,728681,811406,7056730,561392
5,0,8321647,496203,0,317022,199286,8577523,398794,317298,0,401356,6555250,6503672,233119,116050,7938448,473480,114882,8465168,456533,443013,0,174689,177948,0,363260,449087,0,404908,105237,29760229063,29601583083,29987849022,30452737001,29741905508,278,273,264,269,277,0,6,692,B,8638669,9377673,15148719,9096390,768168
6,0,339021,236997,0,491869,480491,0,220601,421141,0,498764,6955905,0,479775,9108484,0,204541,399475,0,8483625,370889,0,345545,310487,0,270993,9231882,0,416133,427586,50972429533,53126838082,54335710004,54730965958,56249601499,107,109,110,114,120,0,16,1691,C,830890,719365,684316,8829170,687126
7,0,9253548,213052,0,353865,160703,0,9060229,278030,0,278980,210276,0,9197985,189971,0,9103649,416080,0,8847595,302785,0,132966,118983,0,245874,289466,0,189632,8088493,21213768084,21754332507,22506210579,21983410782,22965801920,265,272,264,275,279,0,35,3522,D,9607413,9339209,18301634,8980561,435506
8,0,232392,373969,8530168,346091,310938,0,297913,475876,0,309841,8203586,0,434926,183555,0,226482,383299,0,6658473,267078,0,6715579,133476,7807275,173234,415782,0,393228,305843,88901446891,91140955649,92907523161,88766394254,85879684401,314,312,311,309,318,0,12,1284,C,9108651,607754,661408,13374052,8373737
9,0,284846,213836,0,7025577,281518,0,313233,8322310,0,312144,8525746,8354964,123037,379129,8186231,308694,304658,0,372514,168755,0,410311,7603863,0,176956,244842,0,458256,111115,36030743172,37638582960,37694053634,38874069767,40078989032,8,8,8,8,8,0,1,137,A,7310423,625377,16972926,782825,635212
10,0,467286,9387051,0,401473,8891632,0,8956280,144637,8106426,278442,376425,8628848,245732,169574,7039977,460516,453204,6377478,405887,268111,0,9720449,223259,0,170237,8899121,6338651,219616,168424,52890511648,51701120985,54178344303,56163997241,57881363046,298,300,309,296,302,0,35,3522,D,868759,17341148,16375073,16503814,6728504
