energy_consumption_class,year,gas_price_per_MWh,lower_bound_MWh,upper_bound_MWh,lower_bound_[currency],upper_bound_[currency]
GJ1000-9999,2018,11873.2,277.78,2777.5,3298137.496,32977813.000000004
GJ1000-9999,2019,12844.750000000002,277.78,2777.5,3568014.6550000003,35676293.12500001
GJ1000-9999,2020,12169.800000000001,277.78,2777.5,3380527.0439999998,33801619.5
GJ1000-9999,2021,16522.75,277.78,2777.5,4589689.494999999,45891938.125
GJ1000-9999,2022,42464.1,277.78,2777.5,11795677.697999999,117944037.75
GJ1000-9999,2023,54544.600000000006,277.78,2777.5,15151398.988,151497626.50000003
GJ10000-99999,2018,10692.4,2777.78,27777.52,29701134.872,297008354.848
GJ10000-99999,2019,11622.9,2777.78,27777.52,32285859.162,322855337.208
GJ10000-99999,2020,10835.650000000001,2777.78,27777.52,30099051.857000005,300987484.58800006
GJ10000-99999,2021,15618.2,2777.78,27777.52,43383923.59600001,433834862.864
GJ10000-99999,2022,54081.50000000001,2777.78,27777.52,150226509.07000002,1502249947.88
GJ10000-99999,2023,45276.799999999996,2777.78,27777.52,125768989.504,1257677217.536
GJ100000-999999,2018,10704.45,27777.8,277777.72,297346071.21000004,2973457714.854
GJ100000-999999,2019,10513.95,27777.8,277777.72,292054400.31,2920541059.194
GJ100000-999999,2020,9136.45,27777.8,277777.72,253790480.81,2537902249.894
GJ100000-999999,2021,19174.75,27777.8,277777.72,532632370.55,5326318336.57
GJ100000-999999,2022,48928.74999999999,27777.8,277777.72,1359133031.7499998,13591316617.449997
GJ100000-999999,2023,39420.35,27777.8,277777.72,1095010598.23,10950094944.602
GJ1000000-3999999,2018,10514.300000000001,277778.0,1111111.72,2920641225.4,11682561957.596
GJ1000000-3999999,2019,9439.199999999999,277778.0,1111111.72,2622002097.6,10488005747.423998
GJ1000000-3999999,2020,8515.650000000001,277778.0,1111111.72,2365460225.7000003,9461838518.418001
GJ1000000-3999999,2021,14757.7,277778.0,1111111.72,4099364390.6000004,16397453430.244
GJ1000000-3999999,2022,57877.200000000004,277778.0,1111111.72,16077012861.6,64308035240.784004
GJ1000000-3999999,2023,63834.2,277778.0,1111111.72,17731736407.6,70926927756.82399
GJ_GE4000000,2018,10361.3,1111112.0,inf,11512564765.599998,inf
GJ_GE4000000,2019,7968.05,1111112.0,inf,8853395971.6,inf
GJ_GE4000000,2020,6757.099999999999,1111112.0,inf,7507894895.2,inf
GJ_GE4000000,2021,20234.8,1111112.0,inf,22483129097.6,inf
GJ_GE4000000,2022,60088.95,1111112.0,inf,66765553412.399994,inf
GJ_GE4000000,2023,29943.0,1111112.0,inf,33270026616.0,inf
GJ_LT1000,2018,12415.050000000001,0.0,277.78,0.0,3448652.589
GJ_LT1000,2019,12723.85,0.0,277.78,0.0,3534431.053
GJ_LT1000,2020,12752.400000000001,0.0,277.78,0.0,3542361.6720000003
GJ_LT1000,2021,14095.599999999999,0.0,277.78,0.0,3915475.767999999
GJ_LT1000,2022,26643.95,0.0,277.78,0.0,7401156.431
GJ_LT1000,2023,49452.7,0.0,277.78,0.0,13736971.005999997
