semester,year,energy_consumption_class,gas_price_per_MWh,lower_bound_MWh,upper_bound_MWh,lower_bound_HUF,upper_bound_HUF
2018-S1,2018,GJ1000-9999,10663.6,277.78,2777.5,2962134.8079999997,29618149.0
2018-S2,2018,GJ1000-9999,13082.800000000001,277.78,2777.5,3634140.184,36337477.0
2019-S1,2019,GJ1000-9999,12635.7,277.78,2777.5,3509944.746,35095656.75
2019-S2,2019,GJ1000-9999,13053.800000000001,277.78,2777.5,3626084.564,36256929.5
2020-S1,2020,GJ1000-9999,12468.400000000001,277.78,2777.5,3463472.1520000002,34630981.00000001
2020-S2,2020,GJ1000-9999,11871.2,277.78,2777.5,3297581.9359999998,32972258.000000004
2021-S1,2021,GJ1000-9999,11320.800000000001,277.78,2777.5,3144691.824,31443522.000000004
2021-S2,2021,GJ1000-9999,21724.699999999997,277.78,2777.5,6034687.165999998,60340354.24999999
2022-S1,2022,GJ1000-9999,25955.4,277.78,2777.5,7209891.012,72091123.5
2022-S2,2022,GJ1000-9999,58972.8,277.78,2777.5,16381464.384,163796952.0
2023-S1,2023,GJ1000-9999,63196.0,277.78,2777.5,17554584.88,175526890.0
2023-S2,2023,GJ1000-9999,45893.2,277.78,2777.5,12748213.095999997,127468362.99999999
2024-S1,2024,GJ1000-9999,38786.5,277.78,2777.5,10774113.969999999,107729503.75
2024-S2,2024,GJ1000-9999,35837.5,277.78,2777.5,9954940.749999998,99538656.25
2007-S2,2007,GJ10000-99999,9344.300000000001,2777.78,27777.52,25956409.654000007,259561480.13600004
2008-S1,2008,GJ10000-99999,10614.4,2777.78,27777.52,29484468.032,294841708.288
2008-S2,2008,GJ10000-99999,12635.400000000001,2777.78,27777.52,35098361.41200001,350980076.20800006
2009-S1,2009,GJ10000-99999,12907.0,2777.78,27777.52,35852806.46,358524450.64
2009-S2,2009,GJ10000-99999,12266.3,2777.78,27777.52,34073082.814,340727393.576
2010-S1,2010,GJ10000-99999,10148.5,2777.78,27777.52,28190300.330000002,281900161.72
2010-S2,2010,GJ10000-99999,12475.699999999999,2777.78,27777.52,34654749.946,346544006.264
2011-S1,2011,GJ10000-99999,10411.300000000001,2777.78,27777.52,28920300.914000005,289200093.976
2011-S2,2011,GJ10000-99999,15879.099999999999,2777.78,27777.52,44108646.398,441082017.83199996
2012-S1,2012,GJ10000-99999,16422.1,2777.78,27777.52,45616980.938,456165211.192
2012-S2,2012,GJ10000-99999,16735.9,2777.78,27777.52,46488648.30200001,464881796.96800005
2013-S1,2013,GJ10000-99999,15563.9,2777.78,27777.52,43233090.142000005,432326543.528
2013-S2,2013,GJ10000-99999,18074.899999999998,2777.78,27777.52,50208095.721999995,502075896.24799997
2014-S1,2014,GJ10000-99999,15521.599999999999,2777.78,27777.52,43115590.048,431151554.432
2014-S2,2014,GJ10000-99999,15339.6,2777.78,27777.52,42610034.08800001,426096045.792
2015-S1,2015,GJ10000-99999,14342.2,2777.78,27777.52,39839476.31600001,398390747.34400004
2015-S2,2015,GJ10000-99999,13402.1,2777.78,27777.52,37228085.33800001,372277100.792
2016-S1,2016,GJ10000-99999,12592.599999999999,2777.78,27777.52,34979472.427999996,349791198.35199994
2016-S2,2016,GJ10000-99999,10815.9,2777.78,27777.52,30044190.702,300438878.568
2017-S1,2017,GJ10000-99999,10254.6,2777.78,27777.52,28485022.788000003,284847356.592
2017-S2,2017,GJ10000-99999,9660.199999999999,2777.78,27777.52,26833910.356,268336398.70399997
2018-S1,2018,GJ10000-99999,9689.199999999999,2777.78,27777.52,26914465.976,269141946.784
2018-S2,2018,GJ10000-99999,11695.6,2777.78,27777.52,32487803.768000003,324874762.912
2019-S1,2019,GJ10000-99999,11784.4,2777.78,27777.52,32734470.632000003,327341406.688
2019-S2,2019,GJ10000-99999,11461.4,2777.78,27777.52,31837247.692,318369267.728
2020-S1,2020,GJ10000-99999,11651.300000000001,2777.78,27777.52,32364748.114000004,323644218.776
2020-S2,2020,GJ10000-99999,10020.0,2777.78,27777.52,27833355.6,278330750.4
2021-S1,2021,GJ10000-99999,10178.5,2777.78,27777.52,28273633.73,282733487.32
2021-S2,2021,GJ10000-99999,21057.9,2777.78,27777.52,58494213.462000005,584936238.408
2022-S1,2022,GJ10000-99999,27477.0,2777.78,27777.52,76325061.06,763242917.04
2022-S2,2022,GJ10000-99999,80686.0,2777.78,27777.52,224127957.08,2241256978.7200003
2023-S1,2023,GJ10000-99999,52052.4,2777.78,27777.52,144590115.67200002,1445886582.048
2023-S2,2023,GJ10000-99999,38501.2,2777.78,27777.52,106947863.336,1069467853.0239999
2024-S1,2024,GJ10000-99999,31748.2,2777.78,27777.52,88189514.996,881886260.464
2024-S2,2024,GJ10000-99999,30067.9,2777.78,27777.52,83522011.26200001,835211693.608
2007-S2,2007,GJ100000-999999,7762.5,27777.8,277777.72,215625172.5,2156249551.5
2008-S1,2008,GJ100000-999999,8314.4,27777.8,277777.72,230955740.32,2309555075.1679997
2008-S2,2008,GJ100000-999999,11236.7,27777.8,277777.72,312130805.26,3121304906.324
2009-S1,2009,GJ100000-999999,11140.3,27777.8,277777.72,309453025.34,3094527134.1159997
2009-S2,2009,GJ100000-999999,10569.5,27777.8,277777.72,293597457.09999996,2935971611.5399995
2010-S1,2010,GJ100000-999999,9496.7,27777.8,277777.72,263797433.26000002,2637971673.524
2010-S2,2010,GJ100000-999999,11864.9,27777.8,277777.72,329580819.21999997,3295804870.0279994
2011-S1,2011,GJ100000-999999,12033.4,27777.8,277777.72,334261378.52,3342610415.8479996
2011-S2,2011,GJ100000-999999,14276.6,27777.8,277777.72,396572539.48,3965721397.3519998
2012-S1,2012,GJ100000-999999,16715.699999999997,27777.8,277777.72,464325371.4599999,4643249034.203999
2012-S2,2012,GJ100000-999999,15154.199999999999,27777.8,277777.72,420950336.75999993,4209499124.4239993
2013-S1,2013,GJ100000-999999,15676.0,27777.8,277777.72,435444792.8,4354443538.719999
2013-S2,2013,GJ100000-999999,14966.5,27777.8,277777.72,415736443.7,4157360246.3799996
2014-S1,2014,GJ100000-999999,12918.1,27777.8,277777.72,358836398.18,3588360364.732
2014-S2,2014,GJ100000-999999,11312.0,27777.8,277777.72,314222473.59999996,3142221568.64
2015-S1,2015,GJ100000-999999,10859.400000000001,27777.8,277777.72,301650241.32000005,3016499372.5680003
2015-S2,2015,GJ100000-999999,11611.3,27777.8,277777.72,322536369.14,3225360440.2359996
2016-S1,2016,GJ100000-999999,10701.2,27777.8,277777.72,297255793.36,2972554937.264
2016-S2,2016,GJ100000-999999,10136.699999999999,27777.8,277777.72,281575225.26,2815749414.3239994
2017-S1,2017,GJ100000-999999,9732.5,27777.8,277777.72,270347438.5,2703471659.8999996
2017-S2,2017,GJ100000-999999,9299.2,27777.8,277777.72,258311317.76000002,2583110573.824
2018-S1,2018,GJ100000-999999,9902.2,27777.8,277777.72,275061331.16,2750610538.9839997
2018-S2,2018,GJ100000-999999,11506.7,27777.8,277777.72,319630811.26,3196304890.724
2019-S1,2019,GJ100000-999999,11140.2,27777.8,277777.72,309450247.56,3094499356.344
2019-S2,2019,GJ100000-999999,9887.7,27777.8,277777.72,274658553.06,2746582762.044
2020-S1,2020,GJ100000-999999,9478.400000000001,27777.8,277777.72,263289099.52000004,2632888341.248
2020-S2,2020,GJ100000-999999,8794.5,27777.8,277777.72,244291862.1,2442916158.54
2021-S1,2021,GJ100000-999999,10169.6,27777.8,277777.72,282489114.88,2824888301.312
2021-S2,2021,GJ100000-999999,28179.9,27777.8,277777.72,782775626.22,7827748371.828
2022-S1,2022,GJ100000-999999,29856.8,27777.8,277777.72,829356219.04,8293553830.495999
2022-S2,2022,GJ100000-999999,68000.7,27777.8,277777.72,1888909844.4599998,18889079404.403996
2023-S1,2023,GJ100000-999999,47316.8,27777.8,277777.72,1314356607.04,13143552821.696
2023-S2,2023,GJ100000-999999,31523.9,27777.8,277777.72,875664589.4200001,8756637067.508
2024-S1,2024,GJ100000-999999,28021.8,27777.8,277777.72,778383956.04,7783831714.295999
2024-S2,2024,GJ100000-999999,28166.8,27777.8,277777.72,782411737.04,7824109483.695999
2007-S2,2007,GJ1000000-3999999,7958.2,277778.0,1111111.72,2210612879.6,8842449290.104
2008-S1,2008,GJ1000000-3999999,8187.5,277778.0,1111111.72,2274307375.0,9097227207.5
2008-S2,2008,GJ1000000-3999999,10953.6,277778.0,1111111.72,3042669100.8,12170673336.192
2009-S1,2009,GJ1000000-3999999,10580.4,277778.0,1111111.72,2939002351.2,11756006442.288
2009-S2,2009,GJ1000000-3999999,10307.7,277778.0,1111111.72,2863252290.6000004,11453006276.244001
2010-S1,2010,GJ1000000-3999999,9385.300000000001,277778.0,1111111.72,2607029863.4,10428116825.716002
2010-S2,2010,GJ1000000-3999999,11087.6,277778.0,1111111.72,3079891352.8,12319562306.672
2011-S1,2011,GJ1000000-3999999,10385.6,277778.0,1111111.72,2884891196.8,11539561879.232
2011-S2,2011,GJ1000000-3999999,12560.3,277778.0,1111111.72,3488975013.3999996,13955896536.716
2012-S1,2012,GJ1000000-3999999,14628.3,277778.0,1111111.72,4063419917.3999996,16253675573.675999
